TRADEDATE,USD,EUR
2021-01-01,73.8757,90.7932
2021-01-12,74.5157,90.8123
2021-01-13,74.2663,90.3227
2021-01-14,73.5264,89.7831
2021-01-15,73.7961,89.6475
2021-01-16,73.5453,89.2546
2021-01-19,73.9735,89.3304
2021-01-20,73.7243,89.2064
2021-01-21,73.355,89.1483
2021-01-22,73.3694,88.9677
2021-01-23,74.3615,90.4087
2021-01-26,74.8569,91.1458
2021-01-27,75.6354,91.6701
2021-01-28,75.04,91.2186
2021-01-29,76.1854,92.131
2021-01-30,76.2527,92.2963
2021-02-02,75.5053,91.5426
2021-02-03,75.9051,91.625
2021-02-04,76.0801,91.5624
2021-02-05,75.7293,90.9206
2021-02-06,75.1107,89.885
2021-02-09,74.2602,89.4019
2021-02-10,74.1192,89.5286
2021-02-11,73.8526,89.5684
2021-02-12,73.7579,89.4388
2021-02-13,73.9378,89.6052
2021-02-16,73.3092,88.9754
2021-02-17,73.2895,88.9441
2021-02-18,73.7669,89.0809
2021-02-19,73.7755,88.87
2021-02-20,73.9717,89.5427
2021-02-21,73.9833,89.6604
2021-02-25,73.7532,89.6691
2021-02-26,73.4747,89.4995
2021-02-27,74.4373,90.3743
2021-03-02,74.0448,89.4461
2021-03-03,74.5755,89.5652
2021-03-04,73.5187,88.8768
2021-03-05,73.7864,88.9421
2021-03-06,74.4275,88.9334
2021-03-10,74.264,88.1736
2021-03-11,74.0393,87.9587
2021-03-12,73.4996,87.7585
2021-03-13,73.5081,87.7981
2021-03-16,73.2317,87.3508
2021-03-17,72.9619,86.9852
2021-03-18,73.1019,86.9693
2021-03-19,73.6582,88.1173
2021-03-20,74.139,88.433
2021-03-23,74.6085,88.6573
2021-03-24,75.3585,89.767
2021-03-25,76.1535,90.0515
2021-03-26,76.1741,89.9768
2021-03-27,75.7576,89.2576
2021-03-30,75.8287,89.349
2021-03-31,75.7023,88.8821
2021-04-01,75.6373,88.7452
2021-04-02,75.8073,88.9523
2021-04-03,76.0734,89.5916
