TRADEDATE,IMOEX,RTSI
2021-01-04,3350.51,1424.84
2021-01-05,3359.15,1426.11
2021-01-06,3371.03,1436.71
2021-01-08,3454.82,1466.5
2021-01-11,3482.48,1466.56
2021-01-12,3471.65,1484.96
2021-01-13,3470.26,1486.77
2021-01-14,3490.85,1500.58
2021-01-15,3450.95,1474.28
2021-01-18,3471.92,1474.86
2021-01-19,3443.23,1470.63
2021-01-20,3466.8,1486.9
2021-01-21,3422.67,1463.84
2021-01-22,3382.92,1418.29
2021-01-25,3397.48,1412.02
2021-01-26,3390.76,1422.95
2021-01-27,3343.62,1393.02
2021-01-28,3342.01,1384.64
2021-01-29,3277.08,1367.64
2021-02-01,3291.14,1363.96
2021-02-02,3360.25,1398.99
2021-02-03,3343.46,1387.0
2021-02-04,3372.0,1402.71
2021-02-05,3392.73,1431.76
2021-02-08,3445.9,1462.22
2021-02-09,3426.86,1457.87
2021-02-10,3399.66,1448.31
2021-02-11,3414.32,1461.33
2021-02-12,3427.08,1461.99
2021-02-15,3481.9,1496.4
2021-02-16,3495.26,1494.58
2021-02-17,3436.8,1462.35
2021-02-18,3400.17,1446.7
2021-02-19,3457.68,1472.33
2021-02-20,3446.32,1465.82
2021-02-22,3433.93,1455.33
2021-02-24,3385.48,1445.91
2021-02-25,3409.76,1450.39
2021-02-26,3346.64,1411.93
2021-03-01,3386.16,1443.02
2021-03-02,3410.1,1452.48
2021-03-03,3416.04,1453.61
2021-03-04,3397.56,1454.67
2021-03-05,3414.13,1447.46
2021-03-09,3478.72,1481.85
2021-03-10,3463.06,1479.57
2021-03-11,3508.51,1505.22
2021-03-12,3539.5,1519.5
2021-03-15,3584.49,1543.99
2021-03-16,3589.83,1552.81
2021-03-17,3507.91,1493.66
2021-03-18,3504.85,1488.72
2021-03-19,3475.26,1474.05
2021-03-22,3489.07,1467.62
2021-03-23,3467.21,1435.67
2021-03-24,3485.33,1437.18
2021-03-25,3439.3,1417.16
2021-03-26,3489.83,1449.85
2021-03-29,3529.33,1468.14
2021-03-30,3525.23,1460.32
2021-03-31,3541.72,1477.11
2021-04-01,3527.54,1457.37
2021-04-02,3558.22,1466.71
2021-04-05,3524.93,1457.13
2021-04-06,3493.89,1426.86
2021-04-07,3500.34,1429.51
2021-04-08,3507.83,1440.43
2021-04-09,3486.03,1417.77
2021-04-12,3522.65,1432.48
2021-04-13,3526.3,1458.51
2021-04-14,3576.89,1490.0
2021-04-15,3568.51,1474.85
2021-04-16,3598.44,1497.05
2021-04-19,3574.08,1476.58
2021-04-20,3552.41,1455.43
2021-04-21,3561.72,1464.17
2021-04-22,3600.35,1501.77
2021-04-23,3597.17,1511.85
2021-04-26,3610.98,1519.33
2021-04-27,3600.6,1516.01
2021-04-28,3578.12,1509.06
2021-04-29,3571.05,1510.72
2021-04-30,3544.0,1485.03
2021-05-04,3577.21,1502.58
2021-05-05,3643.56,1535.67
2021-05-06,3658.27,1550.64
2021-05-07,3682.69,1577.51
2021-05-10,3694.78,1570.78
2021-05-11,3652.05,1552.63
2021-05-12,3654.14,1548.02
2021-05-13,3637.38,1546.93
2021-05-14,3637.6,1548.93
2021-05-17,3639.61,1551.36
2021-05-18,3687.96,1574.32
2021-05-19,3634.76,1552.91
2021-05-20,3636.16,1558.72
2021-05-21,3660.48,1569.55
2021-05-24,3662.51,1570.9
2021-05-25,3686.76,1580.69
2021-05-26,3711.05,1590.58
2021-05-27,3738.68,1603.67
2021-05-28,3730.55,1603.79
2021-05-31,3721.63,1597.54
2021-06-01,3764.59,1614.21
2021-06-02,3817.68,1643.66
2021-06-03,3805.45,1636.51
2021-06-04,3807.43,1647.06
2021-06-07,3822.21,1652.99
2021-06-08,3807.43,1656.46
2021-06-09,3843.28,1674.75
2021-06-10,3827.71,1677.36
2021-06-11,3841.53,1678.57
2021-06-14,3860.18,1687.37
2021-06-15,3822.4,1665.31
2021-06-16,3829.67,1679.02
2021-06-17,3819.07,1664.38
2021-06-18,3802.95,1646.72
2021-06-21,3813.45,1642.39
2021-06-22,3821.68,1645.59
2021-06-23,3837.15,1666.21
2021-06-24,3823.44,1664.94
2021-06-25,3831.84,1672.08
2021-06-28,3825.57,1669.75
2021-06-29,3790.85,1640.08
2021-06-30,3841.85,1653.78
2021-07-01,3858.32,1656.61
2021-07-02,3865.42,1659.72
2021-07-05,3882.59,1664.55
2021-07-06,3884.3,1644.99
2021-07-07,3895.1,1641.42
2021-07-08,3861.08,1627.64
2021-07-09,3855.31,1635.04
2021-07-12,3875.61,1640.22
2021-07-13,3877.03,1648.84
2021-07-14,3832.85,1625.77
2021-07-15,3799.97,1612.08
2021-07-16,3770.15,1603.1
2021-07-19,3693.42,1559.4
2021-07-20,3704.4,1567.28
2021-07-21,3722.96,1586.12
2021-07-22,3754.44,1599.74
2021-07-23,3734.54,1595.86
2021-07-26,3750.1,1602.53
2021-07-27,3733.1,1594.64
2021-07-28,3782.28,1616.34
2021-07-29,3804.33,1639.35
2021-07-30,3771.58,1625.76
2021-08-02,3788.1,1635.9
2021-08-03,3793.69,1637.7
2021-08-04,3810.62,1640.3
2021-08-05,3833.75,1653.31
2021-08-06,3805.36,1632.87
2021-08-09,3835.11,1641.07
2021-08-10,3862.32,1646.47
2021-08-11,3877.37,1656.2
2021-08-12,3888.86,1665.56
2021-08-13,3873.0,1666.44
2021-08-16,3895.31,1674.09
2021-08-17,3943.01,1689.76
2021-08-18,3925.17,1675.21
2021-08-19,3853.98,1635.63
2021-08-20,3832.7,1623.5
2021-08-23,3883.01,1649.94
2021-08-24,3888.87,1660.9
2021-08-25,3886.64,1653.56
2021-08-26,3851.57,1634.79
2021-08-27,3887.38,1664.25
2021-08-30,3928.5,1684.7
2021-08-31,3918.96,1684.16
2021-09-01,3971.02,1715.09
2021-09-02,3990.77,1726.61
2021-09-03,4001.7,1734.16
2021-09-06,4028.25,1737.01
2021-09-07,4010.16,1723.91
2021-09-08,4017.37,1726.53
2021-09-09,3993.56,1726.37
2021-09-10,4002.66,1725.25
2021-09-13,4041.16,1751.08
2021-09-14,4055.7,1754.6
2021-09-15,4065.53,1766.67
2021-09-16,4045.1,1755.64
2021-09-17,4035.17,1745.04
2021-09-20,3969.61,1700.66
2021-09-21,3970.48,1710.9
2021-09-22,4030.98,1747.31
2021-09-23,4052.14,1753.21
2021-09-24,4038.23,1747.56
2021-09-27,4081.22,1774.24
2021-09-28,4065.46,1756.26
2021-09-29,4058.37,1756.52
2021-09-30,4103.52,1777.74
2021-10-01,4086.99,1771.5
2021-10-04,4112.72,1785.75
2021-10-05,4223.85,1840.11
2021-10-06,4171.71,1814.64
2021-10-07,4228.02,1853.99
2021-10-08,4238.0,1860.96
2021-10-11,4279.87,1882.43
2021-10-12,4263.8,1869.94
2021-10-13,4243.92,1855.11
2021-10-14,4259.13,1875.97
2021-10-15,4261.82,1891.56
2021-10-18,4248.33,1876.56
2021-10-19,4276.26,1900.04
2021-10-20,4287.52,1904.77
2021-10-21,4218.63,1868.16
2021-10-22,4196.96,1877.99
2021-10-25,4254.98,1919.58
2021-10-26,4235.87,1916.29
2021-10-27,4229.53,1891.28
2021-10-28,4189.66,1880.37
2021-10-29,4150.0,1843.83
2021-11-01,4221.49,1866.98
2021-11-02,4207.53,1850.83
2021-11-03,4184.87,1826.65
2021-11-05,4174.76,1848.1
