secid,date,value,type
SU26212RMFS9,2013-08-07,37.86,coupon
SU26212RMFS9,2014-02-05,35.15,coupon
SU26212RMFS9,2014-08-06,35.15,coupon
SU26212RMFS9,2015-02-04,35.15,coupon
SU26212RMFS9,2015-08-05,35.15,coupon
SU26212RMFS9,2016-02-03,35.15,coupon
SU26212RMFS9,2016-08-03,35.15,coupon
SU26212RMFS9,2017-02-01,35.15,coupon
SU26212RMFS9,2017-08-02,35.15,coupon
SU26212RMFS9,2018-01-31,35.15,coupon
SU26212RMFS9,2018-08-01,35.15,coupon
SU26212RMFS9,2019-01-30,35.15,coupon
SU26212RMFS9,2019-07-31,35.15,coupon
SU26212RMFS9,2020-01-29,35.15,coupon
SU26212RMFS9,2020-07-29,35.15,coupon
SU26212RMFS9,2021-01-27,35.15,coupon
SU26212RMFS9,2021-07-28,35.15,coupon
SU26212RMFS9,2022-01-26,35.15,coupon
SU26212RMFS9,2022-07-27,35.15,coupon
SU26212RMFS9,2023-01-25,35.15,coupon
SU26212RMFS9,2023-07-26,35.15,coupon
SU26212RMFS9,2024-01-24,35.15,coupon
SU26212RMFS9,2024-07-24,35.15,coupon
SU26212RMFS9,2025-01-22,35.15,coupon
SU26212RMFS9,2025-07-23,35.15,coupon
SU26212RMFS9,2026-01-21,35.15,coupon
SU26212RMFS9,2026-07-22,35.15,coupon
SU26212RMFS9,2027-01-20,35.15,coupon
SU26212RMFS9,2027-07-21,35.15,coupon
SU26212RMFS9,2028-01-19,35.15,coupon
SU26212RMFS9,2028-01-19,1000.0,amortization
SU26218RMFS6,2016-04-06,37.49,coupon
SU26218RMFS6,2016-10-05,42.38,coupon
SU26218RMFS6,2017-04-05,42.38,coupon
SU26218RMFS6,2017-10-04,42.38,coupon
SU26218RMFS6,2018-04-04,42.38,coupon
SU26218RMFS6,2018-10-03,42.38,coupon
SU26218RMFS6,2019-04-03,42.38,coupon
SU26218RMFS6,2019-10-02,42.38,coupon
SU26218RMFS6,2020-04-01,42.38,coupon
SU26218RMFS6,2020-09-30,42.38,coupon
SU26218RMFS6,2021-03-31,42.38,coupon
SU26218RMFS6,2021-09-29,42.38,coupon
SU26218RMFS6,2022-03-30,42.38,coupon
SU26218RMFS6,2022-09-28,42.38,coupon
SU26218RMFS6,2023-03-29,42.38,coupon
SU26218RMFS6,2023-09-27,42.38,coupon
SU26218RMFS6,2024-03-27,42.38,coupon
SU26218RMFS6,2024-09-25,42.38,coupon
SU26218RMFS6,2025-03-26,42.38,coupon
SU26218RMFS6,2025-09-24,42.38,coupon
SU26218RMFS6,2026-03-25,42.38,coupon
SU26218RMFS6,2026-09-23,42.38,coupon
SU26218RMFS6,2027-03-24,42.38,coupon
SU26218RMFS6,2027-09-22,42.38,coupon
SU26218RMFS6,2028-03-22,42.38,coupon
SU26218RMFS6,2028-09-20,42.38,coupon
SU26218RMFS6,2029-03-21,42.38,coupon
SU26218RMFS6,2029-09-19,42.38,coupon
SU26218RMFS6,2030-03-20,42.38,coupon
SU26218RMFS6,2030-09-18,42.38,coupon
SU26218RMFS6,2031-03-19,42.38,coupon
SU26218RMFS6,2031-09-17,42.38,coupon
SU26218RMFS6,2031-09-17,1000.0,amortization
SU26219RMFS4,2016-09-28,19.32,coupon
SU26219RMFS4,2017-03-29,38.64,coupon
SU26219RMFS4,2017-09-27,38.64,coupon
SU26219RMFS4,2018-03-28,38.64,coupon
SU26219RMFS4,2018-09-26,38.64,coupon
SU26219RMFS4,2019-03-27,38.64,coupon
SU26219RMFS4,2019-09-25,38.64,coupon
SU26219RMFS4,2020-03-25,38.64,coupon
SU26219RMFS4,2020-09-23,38.64,coupon
SU26219RMFS4,2021-03-24,38.64,coupon
SU26219RMFS4,2021-09-22,38.64,coupon
SU26219RMFS4,2022-03-23,38.64,coupon
SU26219RMFS4,2022-09-21,38.64,coupon
SU26219RMFS4,2023-03-22,38.64,coupon
SU26219RMFS4,2023-09-20,38.64,coupon
SU26219RMFS4,2024-03-20,38.64,coupon
SU26219RMFS4,2024-09-18,38.64,coupon
SU26219RMFS4,2025-03-19,38.64,coupon
SU26219RMFS4,2025-09-17,38.64,coupon
SU26219RMFS4,2026-03-18,38.64,coupon
SU26219RMFS4,2026-09-16,38.64,coupon
SU26219RMFS4,2026-09-16,1000.0,amortization
SU26221RMFS0,2017-10-11,50.21,coupon
SU26221RMFS0,2018-04-11,38.39,coupon
SU26221RMFS0,2018-10-10,38.39,coupon
SU26221RMFS0,2019-04-10,38.39,coupon
SU26221RMFS0,2019-10-09,38.39,coupon
SU26221RMFS0,2020-04-08,38.39,coupon
SU26221RMFS0,2020-10-07,38.39,coupon
SU26221RMFS0,2021-04-07,38.39,coupon
SU26221RMFS0,2021-10-06,38.39,coupon
SU26221RMFS0,2022-04-06,38.39,coupon
SU26221RMFS0,2022-10-05,38.39,coupon
SU26221RMFS0,2023-04-05,38.39,coupon
SU26221RMFS0,2023-10-04,38.39,coupon
SU26221RMFS0,2024-04-03,38.39,coupon
SU26221RMFS0,2024-10-02,38.39,coupon
SU26221RMFS0,2025-04-02,38.39,coupon
SU26221RMFS0,2025-10-01,38.39,coupon
SU26221RMFS0,2026-04-01,38.39,coupon
SU26221RMFS0,2026-09-30,38.39,coupon
SU26221RMFS0,2027-03-31,38.39,coupon
SU26221RMFS0,2027-09-29,38.39,coupon
SU26221RMFS0,2028-03-29,38.39,coupon
SU26221RMFS0,2028-09-27,38.39,coupon
SU26221RMFS0,2029-03-28,38.39,coupon
SU26221RMFS0,2029-09-26,38.39,coupon
