TRADEDATE,OFZ_26219,OFZ_26212,OFZ_26221,OFZ_26218,OFZ_26230
2021-01-04,111.255,108.25,112.899,120.167,114.898
2021-01-05,111.318,108.435,112.899,120.227,114.95
2021-01-06,111.105,108.5,112.86,120.339,114.947
2021-01-08,111.5,108.38,112.974,120.25,114.5
2021-01-11,110.8,107.9,112.319,119.744,113.39
2021-01-12,110.8,107.778,112.67,119.841,113.571
2021-01-13,110.641,107.462,112.123,119.36,113.08
2021-01-14,110.311,107.399,111.82,119.0,112.65
2021-01-15,110.138,106.607,111.001,118.439,111.8
2021-01-18,110.08,106.742,110.601,118.435,111.729
2021-01-19,110.259,106.848,111.084,118.65,112.1
2021-01-20,110.286,107.008,111.283,118.599,112.198
2021-01-21,110.07,106.7,110.949,118.289,111.65
2021-01-22,109.38,106.1,109.99,117.24,110.25
2021-01-25,109.44,106.21,110.229,117.398,110.5
2021-01-26,109.677,106.434,110.26,117.49,111.119
2021-01-27,109.5,106.137,109.936,117.15,110.65
2021-01-28,109.5,106.099,109.99,117.185,110.699
2021-01-29,109.647,106.193,110.0,117.198,110.6
2021-02-01,109.649,106.246,110.358,117.164,110.976
2021-02-02,109.531,106.227,109.931,117.0,110.48
2021-02-03,109.54,105.904,109.697,116.79,109.947
2021-02-04,109.65,106.027,109.796,116.77,110.001
2021-02-05,110.179,106.361,110.628,117.44,111.199
2021-02-08,110.124,106.477,110.487,117.5,111.102
2021-02-09,109.85,106.34,110.238,116.9,110.302
2021-02-10,109.689,105.996,110.018,116.655,110.108
2021-02-11,109.37,105.602,109.39,116.094,109.4
2021-02-12,108.799,105.05,108.501,115.35,108.56
2021-02-15,108.5,104.47,107.878,114.69,108.099
2021-02-16,108.0,103.973,107.001,113.998,107.659
2021-02-17,108.107,104.117,107.312,114.48,108.249
2021-02-18,108.0,103.995,107.547,114.3,108.139
2021-02-19,107.69,103.908,107.051,113.902,107.697
2021-02-20,107.68,103.971,107.1,114.109,107.87
2021-02-22,107.65,103.913,106.578,113.911,107.49
2021-02-24,107.597,103.994,107.22,113.91,107.898
2021-02-25,106.903,103.598,106.748,113.57,107.399
2021-02-26,106.393,103.252,106.368,112.968,107.05
2021-03-01,106.929,103.258,106.8,113.062,107.56
2021-03-02,106.929,103.7,107.689,113.699,108.4
2021-03-03,107.34,104.071,108.098,114.3,109.2
