TRADEDATE,CLOSE,YIELDCLOSE,DURATION,ACCINT,secid
2021-01-04,111.255,5.5,1710,21.87,SU26219RMFS4
2021-01-05,111.318,5.48,1709,22.08,SU26219RMFS4
2021-01-06,111.105,5.53,1708,22.29,SU26219RMFS4
2021-01-08,111.5,5.44,1707,22.72,SU26219RMFS4
2021-01-11,110.8,5.58,1703,23.35,SU26219RMFS4
2021-01-12,110.8,5.58,1701,23.57,SU26219RMFS4
2021-01-13,110.641,5.61,1700,23.78,SU26219RMFS4
2021-01-14,110.311,5.68,1699,23.99,SU26219RMFS4
2021-01-15,110.138,5.71,1697,24.2,SU26219RMFS4
2021-01-18,110.08,5.72,1694,24.84,SU26219RMFS4
2021-01-19,110.259,5.68,1693,25.05,SU26219RMFS4
2021-01-20,110.286,5.68,1692,25.26,SU26219RMFS4
2021-01-21,110.07,5.72,1691,25.48,SU26219RMFS4
2021-01-22,109.38,5.86,1689,25.69,SU26219RMFS4
2021-01-25,109.44,5.85,1686,26.33,SU26219RMFS4
2021-01-26,109.677,5.8,1685,26.54,SU26219RMFS4
2021-01-27,109.5,5.83,1684,26.75,SU26219RMFS4
2021-01-28,109.5,5.83,1683,26.96,SU26219RMFS4
2021-01-29,109.647,5.8,1682,27.18,SU26219RMFS4
2021-02-01,109.649,5.8,1679,27.81,SU26219RMFS4
2021-02-02,109.531,5.82,1678,28.02,SU26219RMFS4
2021-02-03,109.54,5.82,1677,28.24,SU26219RMFS4
2021-02-04,109.65,5.8,1676,28.45,SU26219RMFS4
2021-02-05,110.179,5.68,1676,28.66,SU26219RMFS4
2021-02-08,110.124,5.7,1673,29.3,SU26219RMFS4
2021-02-09,109.85,5.75,1671,29.51,SU26219RMFS4
2021-02-10,109.689,5.78,1670,29.72,SU26219RMFS4
2021-02-11,109.37,5.85,1668,29.94,SU26219RMFS4
2021-02-12,108.799,5.96,1666,30.15,SU26219RMFS4
2021-02-15,108.5,6.02,1663,30.78,SU26219RMFS4
2021-02-16,108.0,6.13,1662,31.0,SU26219RMFS4
2021-02-17,108.107,6.11,1659,31.21,SU26219RMFS4
2021-02-18,108.0,6.13,1659,31.42,SU26219RMFS4
2021-02-19,107.69,6.19,1657,31.63,SU26219RMFS4
2021-02-20,107.68,6.19,1656,31.85,SU26219RMFS4
2021-02-22,107.65,6.2,1654,32.27,SU26219RMFS4
2021-02-24,107.597,6.21,1652,32.7,SU26219RMFS4
2021-02-25,106.903,6.36,1650,32.91,SU26219RMFS4
2021-02-26,106.393,6.46,1648,33.12,SU26219RMFS4
2021-03-01,106.929,6.35,1645,33.76,SU26219RMFS4
2021-03-02,106.929,6.35,1644,33.97,SU26219RMFS4
2021-03-03,107.34,6.26,1643,34.18,SU26219RMFS4
2021-03-04,107.54,6.22,1644,34.39,SU26219RMFS4
2021-03-05,106.971,6.34,1641,34.61,SU26219RMFS4
2021-03-09,106.999,6.33,1638,35.46,SU26219RMFS4
2021-03-10,106.837,6.36,1636,35.67,SU26219RMFS4
2021-03-11,106.55,6.42,1634,35.88,SU26219RMFS4
2021-03-12,106.391,6.46,1633,36.09,SU26219RMFS4
2021-03-15,106.233,6.49,1630,36.73,SU26219RMFS4
2021-03-16,106.149,6.51,1629,36.94,SU26219RMFS4
2021-03-17,105.801,6.58,1627,37.15,SU26219RMFS4
2021-03-18,105.536,6.64,1626,37.37,SU26219RMFS4
2021-03-19,105.145,6.73,1623,37.58,SU26219RMFS4
2021-03-22,104.998,6.76,1620,38.22,SU26219RMFS4
2021-03-23,104.001,6.98,1617,38.43,SU26219RMFS4
2021-03-24,104.285,6.92,1676,0.0,SU26219RMFS4
2021-03-25,104.7,6.82,1676,0.21,SU26219RMFS4
2021-03-26,105.14,6.72,1676,0.42,SU26219RMFS4
2021-03-29,105.2,6.71,1673,1.06,SU26219RMFS4
2021-03-30,104.849,6.79,1672,1.27,SU26219RMFS4
2021-03-31,104.95,6.76,1670,1.49,SU26219RMFS4
2021-04-01,104.886,6.78,1669,1.7,SU26219RMFS4
2021-04-02,104.9,6.77,1669,1.91,SU26219RMFS4
2021-04-05,104.995,6.75,1666,2.55,SU26219RMFS4
2021-04-06,104.3,6.91,1664,2.76,SU26219RMFS4
2021-04-07,104.001,6.97,1662,2.97,SU26219RMFS4
2021-04-08,103.752,7.03,1661,3.18,SU26219RMFS4
2021-04-09,103.76,7.03,1659,3.4,SU26219RMFS4
2021-04-12,103.9,6.99,1657,4.03,SU26219RMFS4
2021-04-13,104.0,6.97,1656,4.25,SU26219RMFS4
2021-04-14,104.906,6.77,1657,4.46,SU26219RMFS4
2021-04-15,104.678,6.82,1654,4.67,SU26219RMFS4
2021-04-16,105.239,6.69,1656,4.88,SU26219RMFS4
2021-04-19,104.98,6.75,1652,5.52,SU26219RMFS4
2021-04-20,104.989,6.74,1650,5.73,SU26219RMFS4
2021-04-21,105.12,6.72,1649,5.94,SU26219RMFS4
2021-04-22,105.211,6.69,1649,6.16,SU26219RMFS4
2021-04-23,105.343,6.66,1648,6.37,SU26219RMFS4
2021-04-26,105.497,6.63,1646,7.01,SU26219RMFS4
2021-04-27,105.409,6.65,1644,7.22,SU26219RMFS4
2021-04-28,105.295,6.67,1643,7.43,SU26219RMFS4
2021-04-29,105.4,6.65,1643,7.64,SU26219RMFS4
2021-04-30,105.438,6.64,1642,7.86,SU26219RMFS4
2021-05-04,105.5,6.62,1638,8.7,SU26219RMFS4
2021-05-05,105.598,6.6,1637,8.92,SU26219RMFS4
2021-05-06,105.688,6.58,1636,9.13,SU26219RMFS4
2021-05-07,105.6,6.6,1635,9.34,SU26219RMFS4
2021-05-10,105.75,6.56,1632,9.98,SU26219RMFS4
2021-05-11,105.452,6.63,1631,10.19,SU26219RMFS4
2021-05-12,105.199,6.69,1629,10.4,SU26219RMFS4
2021-05-13,105.048,6.72,1628,10.62,SU26219RMFS4
2021-05-14,105.015,6.73,1627,10.83,SU26219RMFS4
