TRADEDATE,SBER,GAZP,LKOH,GMKN,ROSN,NVTK,TATN,MGNT,MTSS,CHMF
2021-01-04,272.0,212.71,5212.5,24314.0,436.0,1250.4,515.8,5744.0,334.9,1343.2
2021-01-05,275.2,215.32,5358.5,24676.0,449.35,1287.4,524.2,5762.5,337.8,1334.2
2021-01-06,272.93,214.38,5376.5,25024.0,453.7,1301.2,522.0,5534.0,334.05,1326.4
2021-01-08,283.64,225.49,5556.5,26544.0,478.2,1379.2,545.4,5478.0,339.4,1369.2
2021-01-11,289.49,227.6,5599.0,26290.0,473.25,1405.4,539.8,5484.5,337.55,1351.2
2021-01-12,289.99,228.69,5721.0,25934.0,474.4,1401.0,546.2,5450.5,334.2,1332.8
2021-01-13,283.78,226.8,5755.0,25976.0,485.95,1425.6,546.2,5410.0,331.9,1315.6
2021-01-14,284.79,228.86,5937.0,26432.0,505.0,1438.0,551.6,5375.5,337.35,1367.6
2021-01-15,276.9,226.5,5888.5,25796.0,512.2,1375.8,535.2,5210.0,332.85,1344.8
2021-01-18,279.79,226.88,5873.0,25874.0,516.5,1390.4,532.9,5219.0,333.0,1347.8
2021-01-19,278.19,223.15,5892.0,25826.0,510.7,1377.2,530.5,5183.5,331.1,1340.4
2021-01-20,279.8,224.3,5864.0,26550.0,510.65,1388.6,529.5,5161.5,332.2,1340.0
2021-01-21,274.4,217.28,5771.0,26538.0,498.0,1352.0,516.8,5060.0,329.3,1344.4
2021-01-22,268.25,215.49,5740.5,26172.0,494.25,1359.2,507.0,4991.0,329.9,1320.4
2021-01-25,265.3,218.68,5722.0,25982.0,495.6,1373.0,509.7,5168.5,333.8,1313.0
2021-01-26,269.34,218.8,5595.5,25768.0,493.95,1373.8,506.2,5175.0,336.3,1316.2
2021-01-27,265.5,217.4,5499.5,24996.0,481.25,1340.8,502.0,5087.5,334.5,1280.6
2021-01-28,265.96,217.7,5575.0,25230.0,483.4,1325.0,500.0,5060.0,333.6,1279.6
2021-01-29,258.11,212.83,5377.0,24364.0,473.0,1266.8,489.3,4924.0,328.85,1262.8
2021-02-01,263.8,214.66,5406.0,24866.0,478.35,1302.8,494.2,4948.5,330.75,1278.4
2021-02-02,263.15,214.42,5516.0,24770.0,482.0,1336.0,499.2,5014.5,331.95,1287.0
2021-02-03,263.53,218.1,5555.0,25312.0,489.95,1336.8,505.5,5048.5,335.05,1284.0
2021-02-04,270.11,219.79,5699.5,25766.0,489.2,1339.4,506.7,5062.5,333.55,1299.6
2021-02-05,271.7,222.01,5715.0,25478.0,493.95,1378.2,513.0,4996.0,336.0,1287.0
2021-02-08,275.2,228.0,5758.0,25804.0,501.75,1399.8,528.2,5107.5,333.75,1296.4
2021-02-09,268.98,227.73,5695.0,25458.0,494.8,1378.0,526.6,5273.0,333.3,1287.6
2021-02-10,265.9,223.24,5594.5,25342.0,491.45,1347.0,523.3,5197.0,330.4,1283.0
2021-02-11,264.7,221.35,5641.5,25432.0,496.8,1327.4,517.0,5117.5,328.45,1277.2
2021-02-12,266.0,226.71,5756.0,25390.0,509.35,1370.0,529.2,5169.0,327.1,1287.2
2021-02-15,271.81,229.22,5909.5,26328.0,521.45,1409.8,538.2,5280.0,330.15,1287.8
2021-02-16,270.9,232.46,5868.5,26208.0,525.6,1399.0,538.0,5297.5,327.9,1301.0
2021-02-17,270.9,229.14,5768.5,26488.0,515.15,1372.0,529.8,5260.0,323.1,1293.0
2021-02-18,266.99,224.47,5615.0,26702.0,506.85,1330.4,515.2,5155.5,320.7,1280.8
2021-02-19,271.34,226.0,5656.0,28130.0,512.75,1363.0,523.8,5172.5,322.4,1308.4
2021-02-20,270.51,225.84,5633.0,27088.0,513.15,1363.0,524.6,5149.5,323.2,1311.8
2021-02-22,273.71,225.63,5786.0,26156.0,516.0,1338.6,527.8,5098.0,320.2,1334.6
2021-02-24,271.9,222.55,5788.5,24846.0,518.25,1323.0,537.4,5008.0,315.65,1304.4
2021-02-25,270.71,221.7,5740.5,23204.0,529.35,1293.4,535.5,4919.5,314.8,1341.0
2021-02-26,270.17,217.56,5575.5,23502.0,523.35,1276.0,522.5,4929.0,313.05,1343.6
2021-03-01,273.58,221.47,5634.0,24268.0,524.1,1298.6,528.3,4970.5,316.7,1366.8
