TRADEDATE,ZCYC_0.25y,ZCYC_0.5y,ZCYC_0.75y,ZCYC_1.0y,ZCYC_2.0y,ZCYC_3.0y,ZCYC_5.0y,ZCYC_7.0y,ZCYC_10.0y,ZCYC_15.0y,ZCYC_20.0y,ZCYC_30.0y
2021-01-01,,,,,,,,,,,,
2021-01-04,4.03,4.09,4.14,4.2,4.5,4.87,5.44,5.84,6.25,6.65,6.87,7.08
2021-01-05,3.98,4.04,4.11,4.18,4.48,4.82,5.38,5.8,6.22,6.62,6.84,7.06
2021-01-06,3.85,3.95,4.04,4.11,4.42,4.79,5.4,5.83,6.24,6.62,6.82,7.03
2021-01-07,,,,,,,,,,,,
2021-01-08,3.78,3.88,3.99,4.08,4.46,4.84,5.45,5.85,6.24,6.59,6.76,6.92
2021-01-11,4.17,4.19,4.22,4.26,4.56,4.92,5.52,5.93,6.34,6.7,6.89,7.07
2021-01-12,4.21,4.23,4.26,4.31,4.59,4.94,5.53,5.93,6.33,6.68,6.87,7.05
2021-01-13,4.16,4.18,4.23,4.29,4.63,4.99,5.58,5.99,6.38,6.73,6.91,7.07
2021-01-14,4.2,4.23,4.29,4.35,4.67,5.01,5.58,5.98,6.39,6.76,6.95,7.13
2021-01-15,4.17,4.22,4.28,4.36,4.73,5.09,5.67,6.07,6.47,6.85,7.04,7.22
2021-01-18,4.17,4.22,4.28,4.36,4.71,5.09,5.69,6.1,6.5,6.86,7.05,7.22
2021-01-19,4.15,4.21,4.27,4.35,4.7,5.06,5.64,6.06,6.47,6.84,7.04,7.23
2021-01-20,4.09,4.15,4.23,4.31,4.7,5.08,5.67,6.07,6.46,6.82,7.01,7.17
2021-01-21,4.13,4.16,4.21,4.29,4.68,5.08,5.71,6.11,6.5,6.84,7.02,7.18
2021-01-22,4.12,4.16,4.22,4.3,4.72,5.16,5.81,6.23,6.63,6.98,7.15,7.29
2021-01-25,4.12,4.17,4.24,4.33,4.75,5.18,5.82,6.22,6.6,6.94,7.12,7.27
2021-01-26,4.13,4.17,4.24,4.32,4.71,5.12,5.76,6.18,6.57,6.92,7.09,7.24
2021-01-27,4.19,4.22,4.28,4.35,4.75,5.16,5.81,6.23,6.62,6.95,7.11,7.26
2021-01-28,4.26,4.28,4.32,4.39,4.76,5.16,5.79,6.22,6.61,6.97,7.14,7.3
2021-01-29,4.22,4.24,4.28,4.35,4.74,5.15,5.78,6.2,6.59,6.93,7.11,7.26
2021-02-01,4.25,4.26,4.3,4.36,4.73,5.14,5.77,6.18,6.58,6.92,7.09,7.24
2021-02-02,4.24,4.26,4.31,4.38,4.75,5.14,5.78,6.22,6.63,7.0,7.19,7.35
2021-02-03,4.16,4.2,4.27,4.36,4.77,5.18,5.82,6.25,6.67,7.04,7.22,7.39
