factor,model_type,best_dist,aic,loglik,df,loc,scale,mu,omega,alpha[1],beta[1],nu
RATE_PC1,distribution,t,12700.460349716577,-6347.230174858289,1.8930734580466555,-0.06512888633100289,20.19799680911627,,,,,
RATE_PC2,distribution,t,11592.543097003592,-5793.271548501796,2.1319705868548557,-0.47651412202477816,13.961313497020349,,,,,
RATE_PC3,distribution,t,10664.758367823337,-5329.379183911668,2.170128460935193,-0.15142790804644884,9.779749845346567,,,,,
r_SBER,GARCH,normal,-6617.423825501857,3312.7119127509286,,,,0.0008686971022416527,1.1362680123187772e-05,0.09999998719065432,0.8799990464976727,
r_GAZP,GARCH,normal,-6015.81191367698,3011.90595683849,,,,2.585454105045668e-05,1.4269792582395343e-05,0.05095028801562666,0.9290871708181421,
r_LKOH,GARCH,normal,-6560.148137277289,3284.0740686386443,,,,0.0005237692883272282,8.176805994502943e-06,0.0499999127708131,0.9299983775371236,
r_GMKN,GARCH,t,-6636.059771048321,3323.0298855241604,,,,-0.00038108028858011494,8.146981978910988e-06,0.10000839546634697,0.8799910471429051,6.059288861258905
r_ROSN,GARCH,normal,-6489.660451669655,3248.8302258348276,,,,0.0005773009143068833,1.1300661016885063e-05,0.10000324803970968,0.8799968267178949,
r_NVTK,GARCH,normal,-6141.891104005541,3074.9455520027705,,,,0.00025027170033987164,1.1965051261282038e-05,0.09034914345352899,0.8915690463203801,
r_TATN,GARCH,t,-6573.559366162477,3291.7796830812385,,,,0.00015718313130161927,1.076671907426058e-05,0.09999998237110447,0.8799998388896362,5.379230972653068
r_MGNT,GARCH,normal,-6404.041714773034,3206.020857386517,,,,0.00037937605939954323,1.0042045700221481e-05,0.1000025227405158,0.8799975551316498,
r_MTSS,GARCH,normal,-6781.423486432246,3394.711743216123,,,,-4.356879417045137e-06,8.748890500385382e-06,0.20000057730989887,0.7800001549983467,
r_CHMF,GARCH,normal,-6125.411577774486,3066.705788887243,,,,0.0007316789434175287,1.1135340849301723e-05,0.09999995162449812,0.8800000534548622,
r_USD,GARCH,normal,-5887.605292872511,2947.8026464362556,,,,0.020357099217654544,3.289859949823633e-06,0.20000505433450555,0.7800013046090984,
r_EUR,GARCH,t,-8410.695540018534,4210.347770009267,,,,1.520563434093651e-06,3.373009386297334e-06,0.09999999561923238,0.8799999614492449,5.369538817482933
r_BRENT,GARCH,normal,-6495.817604544292,3251.908802272146,,,,0.00010533690022178233,7.957054997857534e-06,0.049999910849841955,0.9299983395825203,
