factor,exc_kurt,JB_stat,JB_p,t_df
RATE_PC1,151.3867371915705,1219569.5433735945,0.0,1.8930734580466555
RATE_PC2,8.022972525092392,3465.1464904514173,0.0,2.1319705868548557
RATE_PC3,10.450721120595222,5797.145601378114,0.0,2.170128460935193
r_SBER,111.83600936926177,669663.2015584377,0.0,2.149920492553077
r_GAZP,46.66494448828366,117004.68355597074,0.0,2.203465248374756
r_LKOH,25.256966726407345,34366.60213514804,0.0,2.693268584171575
r_GMKN,5.127068034916489,1391.9027622712504,5.651392876391972e-303,3.287704905785302
r_ROSN,106.44817869168764,605712.9093698999,0.0,3.1331875652587415
r_NVTK,22.178711246778015,26276.608929668295,0.0,3.3077885654588237
r_TATN,49.38473514049891,130531.97744705032,0.0,2.861291421884906
r_MGNT,40.29612226025146,87262.95112960259,0.0,3.04198969808857
r_MTSS,50.24916456024141,133613.53594020318,0.0,2.1546697810545803
r_CHMF,15.574706748282885,13400.01256897568,0.0,3.5866519603302756
r_USD,17.009270909005338,15463.679745777012,0.0,0.9589044866314134
r_EUR,14.870160455947023,11761.775200581511,0.0,0.9730530332417884
r_BRENT,3.9918093271772817,879.5616113313323,1.0130312727347983e-191,3.6733735907667446
