,PC1,PC2,PC3,PC4,PC5,mean_change_bp
0.25y,0.43346124744474146,0.4312787173051377,0.4147506292375034,0.5104870250012244,0.2832794322191392,0.6354330708661418
0.5y,0.41662110781675316,0.28733178027358025,0.1282109485923891,-0.08389353797448866,-0.21665606557198486,0.662204724409449
0.75y,0.39858678664598957,0.16998098997305272,-0.05885218978520448,-0.34549743385037796,-0.2712528874636107,0.6850393700787403
1.0y,0.3796133757491601,0.0747504936887636,-0.18188638786739586,-0.425449045336557,-0.14713198063745847,0.7039370078740157
2.0y,0.3179602703604129,-0.14418136453614847,-0.35635760663166327,-0.17021386589254808,0.4261451838570115,0.7417322834645669
3.0y,0.27742488340268845,-0.23060094153784158,-0.34550399038535606,0.14169508927807326,0.41634896199065474,0.7425196850393702
5.0y,0.23168301772950245,-0.28494746474666566,-0.22907381471039573,0.3676141567264403,-0.052975212807426245,0.7196850393700785
7.0y,0.1991587659574801,-0.30154706197644027,-0.10080058388586285,0.33454782218293966,-0.349833135730606,0.6889763779527559
10.0y,0.15645771079575044,-0.31455032492126983,0.0783781072966151,0.1760171774814276,-0.38726222592047777,0.6448818897637796
15.0y,0.12449496376630727,-0.3311350673454979,0.27290536292548356,-0.030885515323488585,-0.1657856597406249,0.5874015748031495
20.0y,0.11332571253940421,-0.34234534175947823,0.38167454595786354,-0.15730541364152134,0.0652705985437027,0.5543307086614172
30.0y,0.10646687435506795,-0.3536587644287888,0.48959410183435215,-0.28141762135593873,0.34019703748229374,0.5283464566929132
_explained_var_ratio,0.7609944988036949,0.13090187355805363,0.06520761824862224,0.0327363108204256,0.007964683910304766,
