,PC1,PC2,PC3,PC4,PC5,ret_mean,ret_std
SBER,0.3384242894504244,-0.015771485793243157,-0.16450552840672814,-0.03112501903386174,0.12135121153815019,7.688741689682296e-05,0.02383568460842493
GAZP,0.3043349270699278,-0.20026107414482827,-0.02454130715474905,0.7283683781153393,0.5158381000242908,-0.00041633081702976347,0.02673512405455231
LKOH,0.32078476642394443,-0.3040843105785345,-0.1683847918728279,-0.09851361454175583,-0.2106144377754675,9.868693304883036e-05,0.02022778259526547
GMKN,0.3032787694785474,0.14708630876007797,0.612671783526675,0.2303606516274887,-0.2035533576485557,-0.00038315638631929524,0.02019094466778208
ROSN,0.35013363027404976,-0.22227164832173313,-0.12074012334088163,-0.18025361088440897,-0.0409884747495689,-5.033628921750628e-05,0.02377923642627626
NVTK,0.32586569739807586,-0.23090902515812414,0.1682751429838385,-0.08723538383434504,-0.4266822532627476,-4.0308881247775024e-05,0.02447519467014281
TATN,0.3362719480544671,-0.2664400796385963,-0.10731953709648037,-0.044379465555640214,-0.11845174518821276,9.331903852815951e-05,0.023210139455347358
MGNT,0.3094360734042223,0.1887241120678927,-0.2236210377428897,-0.46467821923846053,0.49610212050129354,-0.0005083082848884079,0.02240682148910101
MTSS,0.26944066261969024,0.6938951323716472,-0.4616134081146739,0.2857836439616412,-0.36634782935844734,-0.0003530105226077167,0.020919646647354573
CHMF,0.296240755222006,0.39334957412422467,0.5011087822591924,-0.25704226286786247,0.23515072808891221,-0.0002626675405495899,0.0236034227264686
_explained_var_ratio,0.6237670419032899,0.06736756031476343,0.05536166255473615,0.04768820931523883,0.045272041604662826,,
